date,MedianListingPricePerSqft_AllHomes,MedianRentalPricePerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,state_id
2010-01-31,94.3037974683544,0.715309153279786,67.15,25.88,9
2010-02-28,94.2342342342342,0.7068803016022621,68.87,23.88,9
2010-03-31,94.1864241636895,0.708333333333333,69.38,23.21,9
2010-04-30,94.38888888888891,0.7098214285714292,69.06,23.45,9
2010-05-31,93.21689683184401,0.7127329192546579,68.51,23.87,9
2010-06-30,91.8376068376068,0.7134363852556479,68.48,23.73,9
2010-07-31,90.96522586935329,0.694444444444444,69.4,22.83,9
2010-08-31,89.6965865992415,0.68801704122805,71.01,21.55,9
2010-09-30,88.5504110759413,0.6963788300835649,72.3,20.6,9
2010-10-31,87.037037037037,0.6990131578947372,73.47,19.64,9
2010-11-30,84.5348368908578,0.6890187660650949,75.03,18.4,9
2010-12-31,81.64488017429191,0.705980066445183,75.96,17.67,9
2011-01-31,80.50044722719142,0.6859756097560981,77.02,16.85,9
2011-02-28,78.5714285714286,0.689567116339685,78.72,15.56,9
2011-03-31,78.92324171405009,0.687799043062201,78.95,15.66,9
2011-04-30,77.7694679265157,0.694444444444444,80.2,14.55,9
2011-05-31,78.2000873743993,0.690051753881541,81.52,13.46,9
2011-06-30,77.9967159277504,0.683638443935927,82.06,13.02,9
2011-07-31,77.41691699777009,0.676064441887227,82.06,13.03,9
2011-08-31,75.92051431911159,0.671960904092853,81.69,13.22,9
2011-09-30,75.6521739130435,0.667870036101083,81.26,13.53,9
2011-10-31,74.08890668802559,0.663167938931298,80.34,14.14,9
2011-11-30,69.1739732348869,0.659630606860158,79.14,15.12,9
2011-12-31,67.0594546831608,0.65552060988917,76.46,17.12,9
2012-01-31,67.75442934098679,0.6554648095561539,73.63,19.49,9
2012-02-29,68.2797711786,0.6598680263947211,70.95,21.88,9
2012-03-31,69.00032873109801,0.666666666666667,69.05,23.73,9
2012-04-30,68.65946071981749,0.668103448275862,66.0,26.39,9
2012-05-31,69.35185185185179,0.666152263374486,62.27,29.81,9
2012-06-30,72.9825949367089,0.667189952904239,59.5,32.35,9
2012-07-31,69.18238993710689,0.6647673314339979,56.04,35.55,9
2012-08-31,70.3324808184143,0.6607929515418499,53.12,38.51,9
2012-09-30,71.8525179856115,0.652668359478984,50.45,41.26,9
2012-10-31,73.34840046758309,0.656028368794326,48.56,43.35,9
2012-11-30,81.5882352941177,0.6587837837837839,47.06,45.01,9
2012-12-31,81.80100755667509,0.659013605442177,45.96,46.22,9
2013-01-31,82.1428571428571,0.6598240469208211,44.81,47.59,9
2013-02-28,83.6714349392481,0.672131147540984,42.56,50.04,9
2013-03-31,84.5894732378173,0.672645739910314,40.11,52.47,9
2013-04-30,85.8854166666667,0.674715909090909,38.01,54.73,9
2013-05-31,87.28848876079999,0.658720200752823,35.81,57.26,9
2013-06-30,88.1310223266745,0.662378646413972,32.58,60.9,9
2013-07-31,88.5684905209284,0.666920731707317,30.22,63.66,9
2013-08-31,88.1206496519722,0.6659226190476191,27.68,66.71,9
2013-09-30,88.47402597402599,0.665714285714286,25.85,68.88,9
2013-10-31,88.39831804281349,0.657894736842105,23.47,71.46,9
2013-11-30,87.3071528751753,0.654231625835189,21.31,73.9,9
2013-12-31,86.11111111111109,0.652610441767068,20.29,75.19,9
2014-01-31,85.27827648114899,0.6493506493506489,19.5,76.09,9
2014-02-28,86.9799412617751,0.646551724137931,19.37,76.32,9
2014-03-31,88.7445887445887,0.65,19.21,76.54,9
2014-04-30,90.7335907335907,0.652327221438646,17.73,78.2,9
2014-05-31,91.7176209005003,0.662670822587721,18.56,77.4,9
2014-06-30,91.92037470726,0.662926018287614,20.76,75.09,9
2014-07-31,91.65767709457029,0.667461517473454,21.88,73.73,9
2014-08-31,91.4149443561208,0.667418837270669,23.57,71.82,9
2014-09-30,91.28601546029509,0.6648693950315849,24.79,70.45,9
2014-10-31,90.87393658159321,0.6642820643842621,26.43,68.62,9
2014-11-30,89.47911294481692,0.6679859278803871,28.19,66.79,9
2014-12-31,88.6501670364942,0.670498084291188,29.75,65.04,9
2015-01-31,89.3910101498308,0.672043010752688,31.34,63.33,9
2015-02-28,90.8787878787879,0.675675675675676,31.35,63.36,9
2015-03-31,91.7561482507794,0.680946969219985,30.64,64.1,9
