state_abr,crime_rate_per_100000,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,year
 AK,289.3209568091304,20258.956521739132,20157.260869565216,1.3478260869565217,1.434782608695652,100.0,147.91304347826087,710.8695652173913,0.9130434782608695,19.08695652173913,25.695652173913043,102.21739130434783,77.43478260869566,580.2608695652174,53.17391304347826,5.913043478260869,31224.565217391304,2,147.0,2016
 AL,385.64569081925373,71970.49253731343,71316.41791044777,6.492537313432836,6.253731343283582,95.9556895522388,320.4925373134328,2487.134328358209,5.08955223880597,19.149253731343283,74.44776119402985,221.7462686567164,700.4179104477612,1641.0298507462687,145.62686567164178,15.298507462686567,72145.10447761194,1,67.0,2016
 AR,334.7507271336001,39321.746666666666,38579.933333333334,3.72,3.72,97.76818266666666,183.06666666666666,1443.6933333333334,2.3066666666666666,16.253333333333334,30.69333333333333,133.76,430.6666666666667,937.6933333333334,75.36,7.52,39458.306666666664,5,75.0,2016
 AZ,352.6294427173333,436883.6666666667,434502.6,6.666666666666667,6.133333333333334,99.82667333333332,1730.2,13243.866666666667,21.666666666666668,115.0,484.2,1109.2,3365.733333333333,8699.133333333333,1178.8666666666666,93.66666666666667,441774.93333333335,4,13.866666666666667,2016
 CA,416.0779525741381,655886.724137931,655591.6896551724,14.551724137931034,12.60344827586207,100.0,2769.1206896551726,18079.706896551725,32.39655172413793,134.93103448275863,973.8620689655172,1627.9310344827586,4233.758620689655,10940.51724137931,2905.4310344827586,127.5,660905.5344827586,6,58.0,2016
 CO,181.8246266170312,81055.96875,80392.390625,3.953125,3.8125,97.24145625,246.765625,2141.671875,2.375,32.90625,52.6875,158.765625,403.0625,1551.484375,187.078125,14.203125,82318.234375,8,62.234375,2016
 CT,180.52094943125002,381447.875,381447.875,13.625,12.625,100.0,1229.125,9049.375,13.625,109.5,454.5,651.5,1680.875,6599.25,769.25,40.5,449510.0,9,8.0,2016
 DC,1216.801325,632323.0,632323.0,2.0,1.0,100.0,7866.0,30757.0,88.0,236.0,4037.0,3505.0,3519.0,23575.0,3663.0,51.0,646449.0,11,1.0,2016
 DE,524.4246666,305697.3333333333,305697.3333333333,21.0,19.333333333333332,99.97773333333333,1682.6666666666667,10236.666666666666,18.666666666666668,83.0,499.3333333333333,1081.6666666666667,2463.3333333333335,7294.0,479.3333333333333,75.33333333333333,308583.0,10,3.0,2016
 FL,412.9387034,288321.9104477612,287924.6417910448,16.119402985074625,9.223880597014926,100.0,1401.44776119403,9416.44776119403,15.059701492537313,78.3731343283582,355.76119402985074,952.2537313432836,2287.492537313433,6573.686567164179,555.2686567164179,26.074626865671643,291833.7313432836,12,67.91044776119404,2016
