,Code,Name
267,16047,Gooding County
268,16049,Idaho County
269,16051,Jefferson County
270,16053,Jerome County
271,16055,Kootenai County
272,16057,Latah County
273,16059,Lemhi County
274,16061,Lewis County
275,16063,Lincoln County
276,16065,Madison County
277,16067,Minidoka County
278,16069,Nez Perce County
279,16071,Oneida County
280,16073,Owyhee County
281,16075,Payette County
282,16077,Power County
283,16079,Shoshone County
284,16081,Teton County
285,16083,Twin Falls County
286,16085,Valley County
287,16087,Washington County
288,40001,Adair County
289,40003,Alfalfa County
290,40005,Atoka County
291,40007,Beaver County
292,40009,Beckham County
293,40011,Blaine County
294,40013,Bryan County
295,40015,Caddo County
296,40017,Canadian County
297,40019,Carter County
298,40021,Cherokee County
299,40023,Choctaw County
300,40025,Cimarron County
301,40027,Cleveland County
302,40029,Coal County
303,40031,Comanche County
304,40033,Cotton County
305,40035,Craig County
306,40037,Creek County
307,40039,Custer County
308,40041,Delaware County
309,40043,Dewey County
310,40045,Ellis County
311,40047,Garfield County
312,40049,Garvin County
313,40051,Grady County
314,40053,Grant County
315,40055,Greer County
316,40057,Harmon County
317,40059,Harper County
318,40061,Haskell County
319,40063,Hughes County
320,40065,Jackson County
321,40067,Jefferson County
322,40069,Johnston County
323,40071,Kay County
324,40073,Kingfisher County
325,40075,Kiowa County
326,40077,Latimer County
327,40079,Le Flore County
328,40081,Lincoln County
329,40083,Logan County
330,40085,Love County
331,40093,Major County
332,40095,Marshall County
333,40097,Mayes County
334,40087,McClain County
335,40089,McCurtain County
336,40091,McIntosh County
337,40099,Murray County
338,40101,Muskogee County
339,40103,Noble County
340,40105,Nowata County
341,40107,Okfuskee County
342,40109,Oklahoma County
343,40111,Okmulgee County
344,40113,Osage County
345,40115,Ottawa County
346,40117,Pawnee County
347,40119,Payne County
348,40121,Pittsburg County
349,40123,Pontotoc County
350,40125,Pottawatomie County
351,40127,Pushmataha County
352,40129,Roger Mills County
353,40131,Rogers County
354,40133,Seminole County
355,40135,Sequoyah County
